feature,importance
volatility_rel,0.1743309564057476
atr,0.1548180918994685
swing_low,0.11798645317026726
swing_high,0.10855521893187407
dow,0.07792187099404516
lower_wick_pct,0.07144322422403523
upper_wick_pct,0.07018237508998117
body_pct,0.0693184949693709
session_hour,0.061406977369151954
sweep_high,0.00970429401385651
london,0.009285615773490503
direction,0.008876190510271047
large_body,0.008627539692784686
ny,0.008300010307114468
engulf_bull,0.007796782446050449
bear_fvg,0.007603660534141191
overlap,0.007119650839952634
engulf_bear,0.007105749650656381
bull_fvg,0.006636951084328965
sweep_low,0.00616678916379248
rejection_bear,0.003603745882652546
rejection_bull,0.0032093570469665135
