feature,importance
atr,0.19565299470656022
volatility_rel,0.17745830354933656
lower_wick_pct,0.12824806310498799
body_pct,0.1270741747364004
upper_wick_pct,0.12246502609959158
dow,0.041885527319759905
session_hour,0.040921878453069625
swing_high,0.018560599600735778
bull_fvg,0.017422456587890815
bear_fvg,0.015092450636437191
engulf_bear,0.014120743387861264
swing_low,0.012179301036939353
large_body,0.01125640117886749
engulf_bull,0.010964827589449295
sweep_high,0.010739706223172605
sweep_low,0.00994776228906291
direction,0.009490119432247325
london,0.008743427329266702
ny,0.008015836179367217
overlap,0.007574968929789842
rejection_bull,0.006516742948873034
rejection_bear,0.005668688680332995
