run,trades,risk_per_trade,starting_balance,ending_balance,net_return_pct,max_drawdown_pct,min_balance,max_balance
1,153,0.01,10000.0,18242.92191528757,0.8242921915287571,0.0772553055720799,9509.900499,18991.2530609903
2,153,0.01,10000.0,18242.921915287567,0.8242921915287567,0.10730894497566867,9135.172474836409,18242.921915287567
3,153,0.01,10000.0,18242.921915287585,0.8242921915287584,0.11361512828387067,9509.900499,18242.921915287585
4,153,0.01,10000.0,18242.921915287567,0.8242921915287567,0.1136151282838708,9801.0,18427.193853825825
5,153,0.01,10000.0,18242.921915287563,0.8242921915287562,0.09722323818201105,9900.0,18812.478081779147
6,153,0.01,10000.0,18242.92191528758,0.8242921915287582,0.10519181284795204,10197.0,19411.30824776355
7,153,0.01,10000.0,18242.921915287592,0.8242921915287593,0.10572156613899213,9386.965248671117,18242.921915287592
8,153,0.01,10000.0,18242.921915287585,0.8242921915287584,0.06793465209300986,9789.398463185804,18624.35330096137
9,153,0.01,10000.0,18242.921915287578,0.8242921915287578,0.13125418723102167,9900.0,18242.921915287578
10,153,0.01,10000.0,18242.921915287567,0.8242921915287567,0.15105968903712774,10300.0,19183.0838999902
11,153,0.01,10000.0,18242.921915287592,0.8242921915287593,0.09668845064544655,9795.19751397,19422.807132270085
12,153,0.01,10000.0,18242.921915287585,0.8242921915287584,0.13587215279239745,10300.0,19262.77122551418
13,153,0.01,10000.0,18242.921915287567,0.8242921915287567,0.10678013201722707,10095.03,18242.921915287567
14,153,0.01,10000.0,18242.921915287574,0.8242921915287573,0.1046617457412834,9982.249612910564,18834.77298149672
15,153,0.01,10000.0,18242.921915287567,0.8242921915287567,0.08756409156105718,10197.0,18242.921915287567
16,153,0.01,10000.0,18242.921915287567,0.8242921915287567,0.11361512828387062,9801.0,19828.908099677494
17,153,0.01,10000.0,18242.9219152876,0.82429219152876,0.1404508257064096,8853.356495223981,18427.19385382586
18,153,0.01,10000.0,18242.92191528758,0.8242921915287582,0.0961533463110629,9789.398463185804,18624.353300961367
19,153,0.01,10000.0,18242.92191528759,0.8242921915287589,0.09080043480610618,10178.899930284904,18242.92191528759
20,153,0.01,10000.0,18242.921915287592,0.8242921915287593,0.10572156613899159,9027.767618179892,19002.503112908256
21,153,0.01,10000.0,18242.921915287585,0.8242921915287584,0.16795360122528846,9702.99,19515.043769398566
22,153,0.01,10000.0,18242.921915287574,0.8242921915287573,0.07834756723339098,9783.602845613645,19584.17262401408
23,153,0.01,10000.0,18242.921915287574,0.8242921915287573,0.11518849574218896,9702.99,18438.10976795175
24,153,0.01,10000.0,18242.921915287563,0.8242921915287562,0.08918370061796642,9702.99,19081.440298358866
25,153,0.01,10000.0,18242.921915287574,0.8242921915287573,0.11361512828387059,9498.643539430723,19183.083899990208
26,153,0.01,10000.0,18242.921915287578,0.8242921915287578,0.12403661078476702,10300.0,18646.425251681758
27,153,0.01,10000.0,18242.921915287578,0.8242921915287578,0.08702358213238676,9894.138903000001,18242.921915287578
28,153,0.01,10000.0,18242.921915287567,0.8242921915287567,0.20026608273110266,10300.0,18613.32712507659
29,153,0.01,10000.0,18242.921915287585,0.8242921915287584,0.1224789770010322,9900.0,18427.193853825844
30,153,0.01,10000.0,18242.92191528757,0.8242921915287571,0.11466435047760207,10083.080417081377,18427.19385382583
31,153,0.01,10000.0,18242.921915287578,0.8242921915287578,0.12610915578450962,9801.0,18253.728670272234
32,153,0.01,10000.0,18242.92191528755,0.8242921915287549,0.11361512828387081,9309.62053299605,18668.523360143052
33,153,0.01,10000.0,18242.921915287578,0.8242921915287578,0.11571233069705462,10300.0,18812.478081779154
34,153,0.01,10000.0,18242.921915287592,0.8242921915287593,0.08702358213238687,9777.810659220959,18635.38600854002
35,153,0.01,10000.0,18242.921915287567,0.8242921915287567,0.09668845064544668,9900.0,19002.50311290823
36,153,0.01,10000.0,18242.92191528759,0.8242921915287589,0.10678013201722686,9414.80149401,19002.503112908253
37,153,0.01,10000.0,18242.921915287574,0.8242921915287573,0.14146828223015026,9994.0797,18613.327125076597
38,153,0.01,10000.0,18242.921915287563,0.8242921915287562,0.13228252990309808,9702.99,18242.921915287563
39,153,0.01,10000.0,18242.921915287574,0.8242921915287573,0.13484806422666454,9801.0,18427.193853825833
40,153,0.01,10000.0,18242.92191528759,0.8242921915287589,0.16746071299120086,10293.902091,18242.92191528759
41,153,0.01,10000.0,18242.921915287574,0.8242921915287573,0.15755585427485216,9789.398463185804,19399.816170941624
42,153,0.01,10000.0,18242.921915287578,0.8242921915287578,0.087564091561057,10095.03,18449.032148454608
43,153,0.01,10000.0,18242.921915287578,0.8242921915287578,0.1404508257064099,9293.095596184407,18242.921915287578
44,153,0.01,10000.0,18242.92191528758,0.8242921915287582,0.09829186361178627,10300.0,18242.92191528758
45,153,0.01,10000.0,18242.92191528755,0.8242921915287549,0.1510596890371278,9801.0,18449.032148454582
46,153,0.01,10000.0,18242.921915287574,0.8242921915287573,0.106780132017227,10300.0,18801.340530380403
47,153,0.01,10000.0,18242.921915287567,0.8242921915287567,0.0778015981135221,9509.900499,18613.32712507659
48,153,0.01,10000.0,18242.921915287574,0.8242921915287573,0.09615334631106294,9571.888464069942,18427.193853825833
49,153,0.01,10000.0,18242.921915287578,0.8242921915287578,0.11361512828387073,10300.0,19205.81800923221
50,153,0.01,10000.0,18242.92191528758,0.8242921915287582,0.07834756723339086,9320.6534790699,19217.195165285917
51,153,0.01,10000.0,18242.921915287578,0.8242921915287578,0.15855306341377007,9605.9601,18481.838126541646
52,153,0.01,10000.0,18242.921915287578,0.8242921915287578,0.13994164535871134,10300.0,19002.50311290824
53,153,0.01,10000.0,18242.92191528758,0.8242921915287582,0.11413989471947275,9702.99,18242.92191528758
54,153,0.01,10000.0,18242.921915287585,0.8242921915287584,0.11518849574218892,9801.0,19002.503112908253
55,153,0.01,10000.0,18242.921915287592,0.8242921915287593,0.1399416453587112,9571.888464069943,18427.19385382585
56,153,0.01,10000.0,18242.921915287567,0.8242921915287567,0.08702358213238683,9801.0,18427.193853825825
57,153,0.01,10000.0,18242.921915287578,0.8242921915287578,0.1151884957421889,10300.0,18242.921915287578
58,153,0.01,10000.0,18242.921915287567,0.8242921915287567,0.08648275251635906,9043.820750088045,18242.921915287567
59,153,0.01,10000.0,18242.921915287585,0.8242921915287584,0.0956179249911955,9894.138903000001,18801.340530380414
60,153,0.01,10000.0,18242.921915287592,0.8242921915287593,0.12247897700103196,9900.0,18613.327125076616
61,153,0.01,10000.0,18242.92191528757,0.8242921915287571,0.14045082570641004,9487.399904831434,18991.2530609903
62,153,0.01,10000.0,18242.921915287563,0.8242921915287562,0.10519181284795251,10095.03,18438.10976795174
63,153,0.01,10000.0,18242.92191528757,0.8242921915287571,0.08918370061796592,9498.643539430723,20029.200100684335
64,153,0.01,10000.0,18242.921915287578,0.8242921915287578,0.15705680661607305,9605.9601,18242.921915287578
65,153,0.01,10000.0,18242.921915287563,0.8242921915287562,0.15855306341377026,9900.0,18242.921915287563
66,153,0.01,10000.0,18242.92191528759,0.8242921915287589,0.14299220926204728,9600.273083441998,18757.1779919462
67,153,0.01,10000.0,18242.92191528758,0.8242921915287582,0.09722323818201101,10197.0,18991.253060990315
68,153,0.01,10000.0,18242.921915287567,0.8242921915287567,0.16647406041762147,9702.99,18427.193853825825
69,153,0.01,10000.0,18242.921915287563,0.8242921915287562,0.13125418723102156,10089.0534393891,18242.921915287563
70,153,0.01,10000.0,18242.921915287552,0.8242921915287551,0.14704280312925405,9900.0,18801.34053038038
