rule,samples,wins,losses,win_rate,expectancy_r,profit_factor
sweep_low AND bear_fvg AND london,80,16,63,0.2,-0.1875,0.7619047619047619
bull_fvg AND overlap,368,64,262,0.17391304347826086,-0.19021739130434784,0.732824427480916
bull_fvg AND ny AND overlap,368,64,262,0.17391304347826086,-0.19021739130434784,0.732824427480916
large_body AND sweep_low,294,54,219,0.1836734693877551,-0.19387755102040816,0.7397260273972602
sweep_low AND overlap,241,42,173,0.17427385892116182,-0.1950207468879668,0.7283236994219653
sweep_low AND ny AND overlap,241,42,173,0.17427385892116182,-0.1950207468879668,0.7283236994219653
engulf_bear AND sweep_low,487,92,373,0.188911704312115,-0.19917864476386038,0.739946380697051
sweep_low AND london,303,58,239,0.19141914191419143,-0.2145214521452145,0.7280334728033473
large_body AND bull_fvg AND overlap,163,27,116,0.1656441717791411,-0.2147239263803681,0.6982758620689655
large_body AND bull_fvg AND ny,185,30,130,0.16216216216216217,-0.21621621621621623,0.6923076923076923
rejection_bear AND bull_fvg,171,30,129,0.17543859649122806,-0.22807017543859648,0.6976744186046512
engulf_bear AND sweep_low AND bear_fvg,140,26,110,0.18571428571428572,-0.22857142857142856,0.7090909090909091
sweep_low AND ny,293,49,214,0.16723549488054607,-0.22866894197952217,0.6869158878504673
engulf_bull AND rejection_bull AND ny,119,19,85,0.15966386554621848,-0.23529411764705882,0.6705882352941176
large_body AND bear_fvg AND london,133,25,107,0.18796992481203006,-0.24060150375939848,0.7009345794392523
sweep_low AND bear_fvg,335,60,262,0.1791044776119403,-0.24477611940298508,0.6870229007633588
engulf_bear AND sweep_low AND overlap,100,16,73,0.16,-0.25,0.6575342465753424
engulf_bull AND sweep_high AND overlap,88,13,61,0.14772727272727273,-0.25,0.639344262295082
rejection_bull AND overlap,186,28,133,0.15053763440860216,-0.26344086021505375,0.631578947368421
rejection_bull AND ny AND overlap,186,28,133,0.15053763440860216,-0.26344086021505375,0.631578947368421
rejection_bull AND sweep_low,147,26,118,0.17687074829931973,-0.272108843537415,0.6610169491525424
engulf_bull AND bull_fvg AND ny,265,40,193,0.1509433962264151,-0.27547169811320754,0.6217616580310881
rejection_bull AND ny,227,33,162,0.14537444933920704,-0.2775330396475771,0.6111111111111112
engulf_bear AND sweep_low AND london,119,20,95,0.16806722689075632,-0.29411764705882354,0.631578947368421
engulf_bull AND bull_fvg AND overlap,216,31,161,0.14351851851851852,-0.3148148148148148,0.577639751552795
engulf_bear AND sweep_low AND ny,121,17,90,0.14049586776859505,-0.32231404958677684,0.5666666666666667
large_body AND sweep_low AND overlap,92,11,68,0.11956521739130435,-0.3804347826086957,0.4852941176470588
large_body AND sweep_low AND ny,103,12,78,0.11650485436893204,-0.4077669902912621,0.46153846153846156
sweep_low AND bear_fvg AND ny,91,9,74,0.0989010989010989,-0.5164835164835165,0.36486486486486486
