feature,importance
volatility_rel,0.18351820425530946
atr,0.1512751641283139
swing_low,0.10496542316919756
swing_high,0.09470201139900931
dow,0.09229624499191959
upper_wick_pct,0.07416398947495974
body_pct,0.07041550254910002
lower_wick_pct,0.07022672303329754
session_hour,0.061318011771148526
london,0.012963493767963028
sweep_high,0.010017855324371688
direction,0.00925787046612125
engulf_bull,0.008641517906660073
ny,0.007863245168856673
large_body,0.0073341994370185026
bear_fvg,0.007200141174019755
engulf_bear,0.006906449203096297
sweep_low,0.00672405755736135
bull_fvg,0.006667428586417645
overlap,0.005714868282579109
rejection_bull,0.004205369754787942
rejection_bear,0.0036222285984910765
