report,model,signals,positive_trades,negative_trades,positive_execution_rate,total_r,average_r,profit_factor,avg_mfe_r,avg_mae_r,mfe_mae_ratio,score
C:\Projects\Search4Strategies\storage\reports\USDJPY_M30_5.0R\paper_replay.csv,USDJPY_M30_5.0R,7,6,1,0.8571428571428571,11.129199524559274,1.5898856463656106,12.129199524559274,3.2182461968440648,0.702233704773609,4.582870595596925,4.985474102139359
C:\Projects\Search4Strategies\storage\reports\GBPUSD_M30_5.0R\paper_replay.csv,GBPUSD_M30_5.0R,15,8,7,0.5333333333333333,8.051822573562006,0.5367881715708004,2.150260367651715,3.681324570597259,1.3698588761152177,2.6873750535800633,1.5309298489534797
C:\Projects\Search4Strategies\storage\reports\NAS100_M30_5.0R\paper_replay.csv,NAS100_M30_5.0R,11,5,6,0.45454545454545453,1.7955817476022635,0.1632347043274785,1.2992636246003773,1.6426923865525518,0.8397450403064344,1.9561799209354198,0.9776960197881766
C:\Projects\Search4Strategies\storage\reports\EURUSD_M30_5.0R\paper_replay.csv,EURUSD_M30_5.0R,6,1,4,0.16666666666666666,-3.0,-0.5,0.25,0.0,0.0,0.0,-0.004166666666666673
