feature,importance
volatility_rel,0.18585948189779164
atr,0.18011036175910997
lower_wick_pct,0.13409385766691714
body_pct,0.1232814705684869
upper_wick_pct,0.11896143460100174
dow,0.05097263496928763
session_hour,0.04122965396635988
swing_low,0.017281741966156155
swing_high,0.015642444391309195
large_body,0.013912553031655062
engulf_bull,0.013727668455437983
direction,0.013567506246555281
engulf_bear,0.011253895573270323
london,0.010749574554973442
bear_fvg,0.0107285209044833
sweep_low,0.010715072237396187
bull_fvg,0.010699752753063231
ny,0.009158897927376732
overlap,0.008436484574631932
sweep_high,0.008214554871529863
rejection_bull,0.006502365410242511
rejection_bear,0.004900071672963749
