rule,samples,wins,losses,win_rate,expectancy_r,profit_factor
rejection_bull AND sweep_high,30,3,21,0.1,0.3,1.4285714285714286
rejection_bull AND sweep_low AND overlap,34,3,22,0.08823529411764706,0.23529411764705882,1.3636363636363635
rejection_bear AND sweep_high AND bull_fvg,66,6,50,0.09090909090909091,0.15151515151515152,1.2
rejection_bull AND sweep_low AND ny,39,3,26,0.07692307692307693,0.10256410256410256,1.1538461538461537
rejection_bear AND sweep_high AND london,56,5,50,0.08928571428571429,0.0,1.0
sweep_high AND london,301,25,253,0.08305647840531562,-0.009966777408637873,0.9881422924901185
sweep_high AND bull_fvg AND london,96,8,81,0.08333333333333333,-0.010416666666666666,0.9876543209876543
rejection_bear AND bull_fvg AND london,36,3,31,0.08333333333333333,-0.027777777777777776,0.967741935483871
engulf_bull AND rejection_bull AND overlap,100,7,75,0.07,-0.05,0.9333333333333333
engulf_bear AND sweep_low AND london,119,9,96,0.07563025210084033,-0.05042016806722689,0.9375
engulf_bull AND sweep_high AND london,131,10,111,0.07633587786259542,-0.08396946564885496,0.9009009009009009
engulf_bull AND rejection_bull AND ny,119,8,92,0.06722689075630252,-0.10084033613445378,0.8695652173913043
rejection_bear AND bull_fvg AND overlap,34,2,24,0.058823529411764705,-0.11764705882352941,0.8333333333333334
large_body AND bull_fvg AND london,145,10,125,0.06896551724137931,-0.1724137931034483,0.8
rejection_bear AND bull_fvg AND ny,40,2,28,0.05,-0.2,0.7142857142857143
engulf_bull AND sweep_high,465,28,381,0.060215053763440864,-0.2172043010752688,0.7349081364829396
rejection_bull AND overlap,186,10,141,0.053763440860215055,-0.22043010752688172,0.7092198581560284
rejection_bull AND ny AND overlap,186,10,141,0.053763440860215055,-0.22043010752688172,0.7092198581560284
rejection_bear AND bull_fvg,171,10,139,0.05847953216374269,-0.22807017543859648,0.7194244604316546
engulf_bull AND sweep_high AND bull_fvg,139,8,112,0.05755395683453238,-0.2302158273381295,0.7142857142857143
rejection_bull AND ny,227,12,175,0.05286343612334802,-0.2422907488986784,0.6857142857142857
engulf_bull AND sweep_high AND overlap,87,4,62,0.04597701149425287,-0.25287356321839083,0.6451612903225806
rejection_bear AND sweep_high,170,10,143,0.058823529411764705,-0.2529411764705882,0.6993006993006993
rejection_bull AND bear_fvg AND london,39,2,30,0.05128205128205128,-0.2564102564102564,0.6666666666666666
engulf_bull AND london,1344,79,1154,0.058779761904761904,-0.2708333333333333,0.6845753899480069
london,4135,239,3510,0.057799274486094315,-0.2708585247883918,0.6809116809116809
sweep_high AND bull_fvg,343,19,283,0.05539358600583091,-0.27113702623906705,0.6713780918727915
large_body AND sweep_high AND bull_fvg,53,3,45,0.05660377358490566,-0.2830188679245283,0.6666666666666666
sweep_high,1148,62,947,0.05400696864111498,-0.2848432055749129,0.6546990496304118
engulf_bull AND large_body AND london,562,33,491,0.05871886120996441,-0.28647686832740216,0.6720977596741344
large_body AND london,1394,78,1193,0.05595408895265423,-0.2962697274031564,0.6538139145012574
bull_fvg AND london,436,25,380,0.05733944954128441,-0.2981651376146789,0.6578947368421053
large_body AND bull_fvg,544,29,455,0.05330882352941176,-0.30330882352941174,0.6373626373626373
engulf_bull AND bull_fvg,1323,70,1105,0.05291005291005291,-0.30612244897959184,0.6334841628959276
rejection_bear AND london,251,14,217,0.055776892430278883,-0.30677290836653387,0.6451612903225806
engulf_bull,6712,351,5581,0.05229439809296782,-0.30855184743742553,0.6289195484680165
engulf_bear AND london,1426,76,1200,0.05329593267882188,-0.3085553997194951,0.6333333333333333
bull_fvg,2107,111,1763,0.05268153773137162,-0.3099193165638348,0.629608621667612
sweep_low AND london,303,16,254,0.052805280528052806,-0.3102310231023102,0.6299212598425197
engulf_bear AND large_body AND london,573,30,482,0.05235602094240838,-0.31762652705061084,0.6224066390041494
engulf_bull AND large_body AND bull_fvg,404,21,339,0.05198019801980198,-0.3193069306930693,0.6194690265486725
rejection_bear,1182,59,975,0.04991539763113367,-0.3257191201353638,0.6051282051282051
rejection_bull AND london,226,11,186,0.048672566371681415,-0.336283185840708,0.5913978494623656
engulf_bear AND large_body AND sweep_low,138,6,107,0.043478260869565216,-0.34057971014492755,0.5607476635514018
rejection_bull AND sweep_low AND london,38,2,33,0.05263157894736842,-0.34210526315789475,0.6060606060606061
engulf_bear AND rejection_bear AND sweep_high,35,2,32,0.05714285714285714,-0.34285714285714286,0.625
engulf_bear AND rejection_bear AND london,139,7,118,0.050359712230215826,-0.34532374100719426,0.5932203389830508
engulf_bull AND large_body,2091,100,1731,0.04782400765184122,-0.34959349593495936,0.5777007510109763
rejection_bull,1097,51,902,0.04649042844120328,-0.35733819507748404,0.565410199556541
engulf_bull AND bull_fvg AND london,275,14,241,0.05090909090909091,-0.36727272727272725,0.5809128630705395
engulf_bull AND sweep_high AND ny,106,4,79,0.03773584905660377,-0.36792452830188677,0.5063291139240507
engulf_bear,6510,298,5379,0.04577572964669739,-0.3685099846390169,0.5540063208774865
rejection_bull AND sweep_low,147,6,115,0.04081632653061224,-0.3741496598639456,0.5217391304347826
engulf_bear AND large_body AND bear_fvg,363,15,286,0.04132231404958678,-0.3746556473829201,0.5244755244755245
large_body AND sweep_low AND bear_fvg,48,2,38,0.041666666666666664,-0.375,0.5263157894736842
rejection_bear AND overlap,181,7,138,0.03867403314917127,-0.3756906077348066,0.5072463768115942
rejection_bear AND ny AND overlap,181,7,138,0.03867403314917127,-0.3756906077348066,0.5072463768115942
rejection_bull AND sweep_low AND bear_fvg,71,3,57,0.04225352112676056,-0.38028169014084506,0.5263157894736842
engulf_bear AND rejection_bear,610,28,514,0.04590163934426229,-0.3836065573770492,0.5447470817120622
sweep_low AND bear_fvg,334,14,274,0.041916167664670656,-0.40119760479041916,0.5109489051094891
engulf_bear AND sweep_low,486,20,396,0.0411522633744856,-0.40329218106995884,0.5050505050505051
engulf_bear AND large_body,2034,82,1648,0.04031465093411996,-0.40707964601769914,0.4975728155339806
large_body AND bear_fvg,498,19,393,0.03815261044176707,-0.40763052208835343,0.48346055979643765
rejection_bull AND bear_fvg,156,6,124,0.038461538461538464,-0.41025641025641024,0.4838709677419355
large_body,5170,211,4238,0.04081237911025145,-0.411605415860735,0.49787635677206227
sweep_high AND overlap,254,9,196,0.03543307086614173,-0.41732283464566927,0.45918367346938777
sweep_high AND ny AND overlap,254,9,196,0.03543307086614173,-0.41732283464566927,0.45918367346938777
large_body AND sweep_high AND london,67,3,58,0.04477611940298507,-0.417910447761194,0.5172413793103449
engulf_bull AND sweep_low AND london,45,2,39,0.044444444444444446,-0.4222222222222222,0.5128205128205128
engulf_bear AND sweep_low AND bear_fvg,139,5,109,0.03597122302158273,-0.4244604316546763,0.45871559633027525
engulf_bull AND overlap,1049,38,829,0.03622497616777884,-0.42802669208770255,0.4583835946924005
engulf_bull AND ny AND overlap,1049,38,829,0.03622497616777884,-0.42802669208770255,0.4583835946924005
engulf_bull AND rejection_bull,618,25,515,0.040453074433656956,-0.42880258899676377,0.4854368932038835
engulf_bear AND bear_fvg AND london,264,11,225,0.041666666666666664,-0.4356060606060606,0.4888888888888889
bear_fvg AND london,415,17,353,0.04096385542168675,-0.44096385542168676,0.48158640226628896
engulf_bear AND large_body AND sweep_high,65,2,49,0.03076923076923077,-0.4461538461538462,0.40816326530612246
engulf_bull AND large_body AND overlap,546,20,444,0.03663003663003663,-0.4468864468864469,0.45045045045045046
engulf_bull AND ny,1312,45,1037,0.03429878048780488,-0.44740853658536583,0.4339440694310511
rejection_bear AND sweep_low,31,1,24,0.03225806451612903,-0.45161290322580644,0.4166666666666667
rejection_bear AND sweep_high AND overlap,33,1,25,0.030303030303030304,-0.45454545454545453,0.4
sweep_low,1125,41,929,0.036444444444444446,-0.4613333333333333,0.4413347685683531
engulf_bull AND bull_fvg AND overlap,215,7,170,0.03255813953488372,-0.46511627906976744,0.4117647058823529
engulf_bull AND large_body AND ny,650,22,524,0.033846153846153845,-0.4676923076923077,0.4198473282442748
rejection_bear AND ny,235,7,181,0.029787234042553193,-0.4723404255319149,0.3867403314917127
sweep_high AND ny,292,9,228,0.030821917808219176,-0.4726027397260274,0.39473684210526316
large_body AND bear_fvg AND london,132,5,114,0.03787878787878788,-0.48484848484848486,0.43859649122807015
bear_fvg,2037,70,1690,0.03436426116838488,-0.48600883652430044,0.41420118343195267
engulf_bear AND sweep_high AND overlap,37,1,28,0.02702702702702703,-0.4864864864864865,0.35714285714285715
large_body AND sweep_low AND london,76,3,67,0.039473684210526314,-0.4868421052631579,0.44776119402985076
sweep_low AND bear_fvg AND london,80,3,69,0.0375,-0.4875,0.43478260869565216
engulf_bull AND bull_fvg AND ny,264,8,212,0.030303030303030304,-0.5,0.37735849056603776
rejection_bear AND sweep_high AND ny,38,1,29,0.02631578947368421,-0.5,0.3448275862068966
engulf_bear AND sweep_high,158,5,130,0.03164556962025317,-0.5063291139240507,0.38461538461538464
engulf_bull AND large_body AND sweep_high,110,4,96,0.03636363636363636,-0.509090909090909,0.4166666666666667
engulf_bear AND bear_fvg,1253,41,1049,0.03272146847565842,-0.509976057462091,0.3908484270734032
large_body AND bull_fvg AND ny,184,6,156,0.03260869565217391,-0.5217391304347826,0.38461538461538464
large_body AND sweep_high,284,9,240,0.03169014084507042,-0.528169014084507,0.375
bull_fvg AND overlap,367,10,294,0.027247956403269755,-0.5286103542234333,0.3401360544217687
bull_fvg AND ny AND overlap,367,10,294,0.027247956403269755,-0.5286103542234333,0.3401360544217687
engulf_bull AND rejection_bull AND london,128,4,108,0.03125,-0.53125,0.37037037037037035
engulf_bull AND sweep_low,143,4,116,0.027972027972027972,-0.5314685314685315,0.3448275862068966
engulf_bear AND sweep_high AND ny,41,1,32,0.024390243902439025,-0.5365853658536586,0.3125
