feature,importance
atr,0.1527110122491495
volatility_rel,0.14742372496055411
body_pct,0.09256990924605175
upper_wick_pct,0.09093863020022967
lower_wick_pct,0.0875559128864534
session_hour,0.08094321157257094
swing_high,0.07839009057797211
swing_low,0.07160921803816503
dow,0.06997567218320522
ny,0.0161386915078536
bear_fvg,0.014498084917954209
sweep_low,0.012555530911654492
overlap,0.01098242979099351
direction,0.010979943449553607
engulf_bull,0.010051975589089893
engulf_bear,0.00975096353404292
sweep_high,0.009486461729718286
large_body,0.0080773460565533
london,0.007287472752503081
bull_fvg,0.006985766041847065
rejection_bull,0.005672814779968173
rejection_bear,0.005415137023916007
