run,trades,ending_r,max_drawdown_r,min_equity_r,max_equity_r
1,67,47.0,10.0,-1.0,48.0
2,67,47.0,14.0,-7.0,48.0
3,67,47.0,11.0,-3.0,47.0
4,67,47.0,9.0,-1.0,48.0
5,67,47.0,10.0,1.0,50.0
6,67,47.0,8.0,-1.0,51.0
7,67,47.0,10.0,5.0,52.0
8,67,47.0,8.0,-5.0,50.0
9,67,47.0,7.0,-3.0,47.0
10,67,47.0,13.0,-3.0,57.0
11,67,47.0,9.0,-1.0,51.0
12,67,47.0,8.0,-5.0,55.0
13,67,47.0,9.0,2.0,48.0
14,67,47.0,16.0,-2.0,55.0
15,67,47.0,8.0,-9.0,49.0
16,67,47.0,12.0,-1.0,50.0
17,67,47.0,12.0,-1.0,49.0
18,67,47.0,7.0,-1.0,50.0
19,67,47.0,9.0,-2.0,49.0
20,67,47.0,13.0,2.0,49.0
21,67,47.0,10.0,-1.0,51.0
22,67,47.0,10.0,-5.0,53.0
23,67,47.0,11.0,-1.0,48.0
24,67,47.0,13.0,-1.0,53.0
25,67,47.0,8.0,-3.0,55.0
26,67,47.0,9.0,-1.0,56.0
27,67,47.0,12.0,-1.0,48.0
28,67,47.0,9.0,-4.0,51.0
29,67,47.0,12.0,-2.0,54.0
30,67,47.0,12.0,-2.0,51.0
31,67,47.0,14.0,-1.0,55.0
32,67,47.0,13.0,-14.0,47.0
33,67,47.0,8.0,-6.0,55.0
34,67,47.0,10.0,-1.0,49.0
35,67,47.0,9.0,1.0,51.0
36,67,47.0,7.0,-1.0,48.0
37,67,47.0,6.0,-1.0,51.0
38,67,47.0,20.0,-6.0,49.0
39,67,47.0,14.0,1.0,51.0
40,67,47.0,11.0,-1.0,47.0
41,67,47.0,6.0,-2.0,48.0
42,67,47.0,13.0,-2.0,47.0
43,67,47.0,9.0,-1.0,56.0
44,67,47.0,6.0,-7.0,50.0
45,67,47.0,8.0,-1.0,47.0
46,67,47.0,11.0,-2.0,55.0
47,67,47.0,14.0,-2.0,47.0
48,67,47.0,9.0,-3.0,53.0
49,67,47.0,11.0,-3.0,52.0
50,67,47.0,13.0,-3.0,49.0
51,67,47.0,9.0,-4.0,47.0
52,67,47.0,9.0,-10.0,49.0
53,67,47.0,6.0,-4.0,49.0
54,67,47.0,7.0,-2.0,54.0
55,67,47.0,12.0,-5.0,54.0
56,67,47.0,9.0,2.0,53.0
57,67,47.0,10.0,-4.0,48.0
58,67,47.0,12.0,-1.0,47.0
59,67,47.0,12.0,-3.0,48.0
60,67,47.0,10.0,1.0,54.0
61,67,47.0,10.0,-3.0,52.0
62,67,47.0,12.0,-2.0,49.0
63,67,47.0,7.0,-1.0,48.0
64,67,47.0,10.0,-5.0,53.0
65,67,47.0,12.0,-9.0,59.0
66,67,47.0,10.0,-8.0,49.0
67,67,47.0,8.0,5.0,48.0
68,67,47.0,9.0,-6.0,50.0
69,67,47.0,7.0,-7.0,47.0
70,67,47.0,9.0,-3.0,53.0
71,67,47.0,7.0,-3.0,47.0
72,67,47.0,10.0,-4.0,47.0
73,67,47.0,8.0,-2.0,49.0
74,67,47.0,15.0,-1.0,49.0
75,67,47.0,15.0,-1.0,52.0
76,67,47.0,8.0,-3.0,50.0
77,67,47.0,9.0,-1.0,50.0
78,67,47.0,7.0,-3.0,53.0
79,67,47.0,15.0,-16.0,52.0
80,67,47.0,8.0,-3.0,55.0
81,67,47.0,12.0,-13.0,49.0
82,67,47.0,8.0,-1.0,47.0
83,67,47.0,10.0,-4.0,47.0
84,67,47.0,6.0,-2.0,47.0
85,67,47.0,10.0,-3.0,49.0
86,67,47.0,16.0,-5.0,49.0
87,67,47.0,12.0,-7.0,49.0
88,67,47.0,9.0,-2.0,50.0
89,67,47.0,10.0,-3.0,48.0
90,67,47.0,11.0,-1.0,49.0
91,67,47.0,10.0,-1.0,51.0
92,67,47.0,8.0,-2.0,48.0
93,67,47.0,9.0,0.0,50.0
94,67,47.0,7.0,-6.0,51.0
95,67,47.0,6.0,-6.0,48.0
96,67,47.0,8.0,-2.0,48.0
97,67,47.0,10.0,-1.0,48.0
98,67,47.0,11.0,5.0,48.0
99,67,47.0,11.0,5.0,50.0
100,67,47.0,8.0,-4.0,48.0
101,67,47.0,12.0,-3.0,47.0
102,67,47.0,7.0,-8.0,48.0
103,67,47.0,9.0,-2.0,49.0
104,67,47.0,13.0,-2.0,49.0
105,67,47.0,10.0,-1.0,47.0
106,67,47.0,8.0,-2.0,52.0
107,67,47.0,14.0,-1.0,49.0
108,67,47.0,14.0,0.0,50.0
109,67,47.0,8.0,-1.0,55.0
110,67,47.0,15.0,3.0,57.0
111,67,47.0,11.0,-1.0,49.0
112,67,47.0,11.0,-4.0,47.0
113,67,47.0,12.0,-1.0,53.0
114,67,47.0,9.0,-1.0,48.0
115,67,47.0,14.0,-1.0,55.0
116,67,47.0,9.0,-1.0,49.0
117,67,47.0,8.0,-3.0,54.0
118,67,47.0,10.0,5.0,50.0
119,67,47.0,14.0,-5.0,52.0
120,67,47.0,8.0,0.0,55.0
121,67,47.0,11.0,-3.0,49.0
122,67,47.0,10.0,-5.0,57.0
123,67,47.0,6.0,-2.0,47.0
124,67,47.0,8.0,-7.0,50.0
125,67,47.0,7.0,5.0,48.0
126,67,47.0,7.0,5.0,47.0
127,67,47.0,20.0,-1.0,48.0
128,67,47.0,7.0,1.0,51.0
129,67,47.0,11.0,-3.0,50.0
130,67,47.0,10.0,-3.0,47.0
131,67,47.0,7.0,-1.0,47.0
132,67,47.0,9.0,5.0,56.0
133,67,47.0,7.0,0.0,50.0
134,67,47.0,10.0,-4.0,57.0
135,67,47.0,12.0,-2.0,48.0
136,67,47.0,9.0,-1.0,49.0
137,67,47.0,8.0,-1.0,47.0
138,67,47.0,16.0,-13.0,49.0
139,67,47.0,14.0,-1.0,48.0
140,67,47.0,7.0,-3.0,48.0
141,67,47.0,15.0,4.0,49.0
142,67,47.0,10.0,-7.0,48.0
143,67,47.0,9.0,1.0,51.0
144,67,47.0,8.0,-1.0,52.0
145,67,47.0,12.0,-1.0,56.0
146,67,47.0,23.0,-3.0,56.0
147,67,47.0,8.0,-3.0,50.0
148,67,47.0,10.0,-1.0,49.0
149,67,47.0,6.0,-5.0,52.0
150,67,47.0,15.0,5.0,62.0
151,67,47.0,10.0,5.0,57.0
152,67,47.0,11.0,-2.0,49.0
153,67,47.0,9.0,-1.0,53.0
154,67,47.0,8.0,-5.0,48.0
155,67,47.0,8.0,1.0,55.0
156,67,47.0,10.0,-4.0,48.0
157,67,47.0,8.0,3.0,53.0
158,67,47.0,14.0,0.0,50.0
159,67,47.0,7.0,-5.0,47.0
160,67,47.0,7.0,-1.0,47.0
161,67,47.0,7.0,-2.0,48.0
162,67,47.0,8.0,-5.0,51.0
163,67,47.0,13.0,-2.0,47.0
164,67,47.0,7.0,-2.0,54.0
165,67,47.0,11.0,-2.0,51.0
166,67,47.0,6.0,-1.0,48.0
167,67,47.0,11.0,5.0,52.0
168,67,47.0,8.0,-4.0,47.0
169,67,47.0,11.0,-3.0,47.0
170,67,47.0,8.0,-2.0,48.0
171,67,47.0,8.0,-5.0,48.0
172,67,47.0,9.0,-3.0,49.0
173,67,47.0,9.0,4.0,47.0
174,67,47.0,12.0,-2.0,47.0
175,67,47.0,10.0,-1.0,47.0
176,67,47.0,6.0,-5.0,50.0
177,67,47.0,10.0,-2.0,47.0
178,67,47.0,9.0,-1.0,51.0
179,67,47.0,7.0,-2.0,51.0
180,67,47.0,11.0,-7.0,47.0
181,67,47.0,13.0,-2.0,47.0
182,67,47.0,12.0,-1.0,47.0
183,67,47.0,10.0,-7.0,56.0
184,67,47.0,7.0,-5.0,48.0
185,67,47.0,16.0,-2.0,49.0
186,67,47.0,11.0,-2.0,52.0
187,67,47.0,11.0,-11.0,47.0
188,67,47.0,8.0,5.0,48.0
189,67,47.0,7.0,-3.0,48.0
190,67,47.0,13.0,-1.0,49.0
191,67,47.0,7.0,-4.0,49.0
192,67,47.0,6.0,-6.0,49.0
193,67,47.0,11.0,2.0,57.0
194,67,47.0,13.0,3.0,49.0
195,67,47.0,17.0,-6.0,49.0
196,67,47.0,9.0,-3.0,48.0
197,67,47.0,9.0,-5.0,50.0
198,67,47.0,6.0,2.0,47.0
199,67,47.0,8.0,0.0,52.0
200,67,47.0,10.0,3.0,57.0
201,67,47.0,10.0,-11.0,50.0
202,67,47.0,9.0,1.0,52.0
203,67,47.0,9.0,-9.0,47.0
204,67,47.0,11.0,-1.0,52.0
205,67,47.0,10.0,-1.0,54.0
206,67,47.0,8.0,-1.0,49.0
207,67,47.0,16.0,4.0,50.0
208,67,47.0,9.0,-7.0,47.0
209,67,47.0,8.0,-3.0,47.0
210,67,47.0,11.0,-1.0,48.0
211,67,47.0,12.0,-1.0,47.0
212,67,47.0,10.0,-2.0,50.0
213,67,47.0,11.0,-3.0,53.0
214,67,47.0,11.0,-3.0,50.0
215,67,47.0,8.0,-2.0,49.0
216,67,47.0,12.0,-1.0,50.0
217,67,47.0,7.0,-5.0,50.0
218,67,47.0,10.0,1.0,53.0
219,67,47.0,12.0,-1.0,47.0
220,67,47.0,13.0,-1.0,47.0
221,67,47.0,14.0,-6.0,49.0
222,67,47.0,6.0,-2.0,48.0
223,67,47.0,5.0,-2.0,50.0
224,67,47.0,12.0,-1.0,49.0
225,67,47.0,13.0,-2.0,48.0
226,67,47.0,11.0,-1.0,49.0
227,67,47.0,13.0,-2.0,56.0
228,67,47.0,7.0,-2.0,47.0
229,67,47.0,9.0,-3.0,54.0
230,67,47.0,7.0,-3.0,51.0
231,67,47.0,9.0,-6.0,56.0
232,67,47.0,7.0,3.0,54.0
233,67,47.0,8.0,-1.0,55.0
234,67,47.0,7.0,4.0,50.0
235,67,47.0,11.0,-2.0,48.0
236,67,47.0,10.0,-3.0,50.0
237,67,47.0,11.0,3.0,57.0
238,67,47.0,6.0,2.0,51.0
239,67,47.0,9.0,-10.0,48.0
240,67,47.0,11.0,-5.0,50.0
