rule,samples,wins,losses,win_rate,expectancy_r,profit_factor
engulf_bull AND rejection_bull AND sweep_high,27,10,17,0.37037037037037035,1.2222222222222223,2.9411764705882355
rejection_bull AND sweep_high,30,11,19,0.36666666666666664,1.2,2.8947368421052633
rejection_bear AND bull_fvg AND overlap,34,10,23,0.29411764705882354,0.7941176470588235,2.1739130434782608
rejection_bear AND bull_fvg AND ny,40,11,27,0.275,0.7,2.037037037037037
engulf_bull AND rejection_bull AND bull_fvg,70,19,48,0.2714285714285714,0.6714285714285714,1.9791666666666667
engulf_bull AND sweep_low AND overlap,24,6,14,0.25,0.6666666666666666,2.142857142857143
engulf_bear AND rejection_bear AND sweep_low,26,7,18,0.2692307692307692,0.6538461538461539,1.9444444444444444
rejection_bear AND sweep_high AND bull_fvg,66,17,47,0.25757575757575757,0.5757575757575758,1.8085106382978724
rejection_bear AND sweep_high AND overlap,33,8,22,0.24242424242424243,0.5454545454545454,1.8181818181818181
rejection_bull AND sweep_low AND overlap,34,8,22,0.23529411764705882,0.5294117647058824,1.8181818181818181
engulf_bull AND sweep_low AND ny,31,7,19,0.22580645161290322,0.5161290322580645,1.8421052631578947
rejection_bull AND bull_fvg,78,19,56,0.24358974358974358,0.5,1.6964285714285714
rejection_bull AND sweep_low AND ny,39,9,26,0.23076923076923078,0.48717948717948717,1.7307692307692308
rejection_bear AND sweep_low,31,7,22,0.22580645161290322,0.41935483870967744,1.5909090909090908
rejection_bear AND sweep_high AND ny,38,8,26,0.21052631578947367,0.3684210526315789,1.5384615384615385
engulf_bear AND rejection_bear AND london,139,29,108,0.20863309352517986,0.26618705035971224,1.3425925925925926
engulf_bull AND sweep_high AND overlap,87,16,62,0.1839080459770115,0.20689655172413793,1.2903225806451613
sweep_low AND london,303,59,239,0.19471947194719472,0.1848184818481848,1.2343096234309623
engulf_bull AND sweep_high AND bull_fvg,139,26,106,0.18705035971223022,0.17266187050359713,1.2264150943396226
engulf_bear AND sweep_low AND london,119,22,92,0.18487394957983194,0.15126050420168066,1.1956521739130435
sweep_high AND bull_fvg AND london,96,18,76,0.1875,0.14583333333333334,1.1842105263157894
engulf_bull AND sweep_high AND london,131,25,106,0.19083969465648856,0.1450381679389313,1.179245283018868
engulf_bull AND sweep_low,143,26,110,0.18181818181818182,0.13986013986013987,1.1818181818181819
engulf_bull AND large_body AND sweep_low,66,12,51,0.18181818181818182,0.13636363636363635,1.1764705882352942
rejection_bear AND bull_fvg,171,31,135,0.18128654970760233,0.11695906432748537,1.1481481481481481
rejection_bear AND london,251,46,201,0.18326693227091634,0.11553784860557768,1.144278606965174
sweep_high AND london,301,55,241,0.18272425249169436,0.11295681063122924,1.1410788381742738
engulf_bull AND rejection_bull AND overlap,100,17,75,0.17,0.1,1.1333333333333333
rejection_bear AND overlap,181,30,134,0.16574585635359115,0.08839779005524862,1.1194029850746268
rejection_bear AND ny AND overlap,181,30,134,0.16574585635359115,0.08839779005524862,1.1194029850746268
large_body AND bull_fvg AND london,145,26,118,0.1793103448275862,0.08275862068965517,1.1016949152542372
rejection_bull AND sweep_low,147,25,113,0.17006802721088435,0.08163265306122448,1.1061946902654867
rejection_bull AND overlap,186,31,140,0.16666666666666666,0.08064516129032258,1.1071428571428572
rejection_bull AND ny AND overlap,186,31,140,0.16666666666666666,0.08064516129032258,1.1071428571428572
