run,trades,risk_per_trade,starting_balance,ending_balance,net_return_pct,max_drawdown_pct,min_balance,max_balance
1,67,0.005,10000.0,12567.859537394135,0.2567859537394135,0.05837719308562409,9412.743800632243,12567.859537394135
2,67,0.005,10000.0,12567.859537394133,0.25678595373941326,0.029627490643734492,9996.299719499219,12694.48704567474
3,67,0.005,10000.0,12567.859537394146,0.2567859537394146,0.06845965552956346,10250.0,12567.859537394146
4,67,0.005,10000.0,12567.85953739414,0.25678595373941415,0.039306956424563215,9748.878837274164,12567.85953739414
5,67,0.005,10000.0,12567.859537394137,0.2567859537394137,0.04001779163301918,9900.25,12694.487045674743
6,67,0.005,10000.0,12567.859537394144,0.2567859537394144,0.04411042164244021,9794.242692108099,13021.484067622481
7,67,0.005,10000.0,12567.859537394143,0.25678595373941415,0.04959361416147991,9847.10369664823,12822.390389813134
8,67,0.005,10000.0,12567.85953739414,0.25678595373941415,0.048889869534227956,9801.495006250001,12763.001106276568
9,67,0.005,10000.0,12567.859537394143,0.25678595373941415,0.04888986953422793,9748.878837274164,12951.582424497497
10,67,0.005,10000.0,12567.859537394146,0.2567859537394146,0.044464127599209556,10039.098759410805,12763.001106276573
11,67,0.005,10000.0,12567.859537394144,0.2567859537394144,0.06308530712019589,9900.25,12758.27843786407
12,67,0.005,10000.0,12567.859537394146,0.2567859537394146,0.04888986953422767,9938.95874928568,12694.487045674752
13,67,0.005,10000.0,12567.859537394148,0.2567859537394148,0.06308530712019583,9950.0,12631.01461044638
14,67,0.005,10000.0,12567.85953739415,0.25678595373941504,0.06343199183709161,9950.0,12694.487045674756
15,67,0.005,10000.0,12567.859537394146,0.2567859537394146,0.03447935319051561,9900.25,12567.859537394146
16,67,0.005,10000.0,12567.859537394139,0.25678595373941393,0.02998655569122095,9752.48753121875,12767.725522855722
17,67,0.005,10000.0,12567.859537394135,0.2567859537394135,0.05837719308562425,10250.0,12956.37664728436
18,67,0.005,10000.0,12567.859537394137,0.2567859537394137,0.029627490643734284,9996.299719499219,12567.859537394137
19,67,0.005,10000.0,12567.85953739415,0.25678595373941504,0.02962749064373429,9752.48753121875,12694.487045674756
20,67,0.005,10000.0,12567.859537394135,0.2567859537394135,0.048889869534228116,9511.101304657717,12567.859537394135
21,67,0.005,10000.0,12567.859537394146,0.2567859537394146,0.04411042164244036,9950.0,12631.014610446378
22,67,0.005,10000.0,12567.859537394144,0.2567859537394144,0.06308530712019612,10198.75,12567.859537394144
23,67,0.005,10000.0,12567.85953739414,0.25678595373941415,0.03930695642456319,9801.495006250001,12567.85953739414
24,67,0.005,10000.0,12567.859537394146,0.2567859537394146,0.029627490643734287,9996.299719499219,12694.487045674752
25,67,0.005,10000.0,12567.859537394143,0.25678595373941415,0.04411042164244021,9900.25,13021.484067622481
26,67,0.005,10000.0,12567.859537394153,0.25678595373941526,0.06308530712019576,9734.457409735516,12631.014610446386
27,67,0.005,10000.0,12567.859537394155,0.2567859537394155,0.06811483187790612,9741.665454844835,12567.859537394155
28,67,0.005,10000.0,12567.859537394143,0.25678595373941415,0.03966243979820111,9900.25,12631.014610446375
29,67,0.005,10000.0,12567.859537394135,0.2567859537394135,0.039662439798201166,9558.895783575595,12886.824512375002
30,67,0.005,10000.0,12567.85953739414,0.25678595373941415,0.039306956424563194,9752.48753121875,12956.376647284365
31,67,0.005,10000.0,12567.859537394144,0.2567859537394144,0.03447935319051558,10147.75625,12758.27843786407
32,67,0.005,10000.0,12567.859537394137,0.2567859537394137,0.048889869534228095,10250.0,12694.487045674743
33,67,0.005,10000.0,12567.859537394146,0.2567859537394146,0.03447935319051569,9752.48753121875,12758.278437864072
34,67,0.005,10000.0,12567.85953739414,0.25678595373941415,0.02962749064373445,9900.25,12567.85953739414
35,67,0.005,10000.0,12567.859537394139,0.25678595373941393,0.09538951972538244,10097.01746875,13096.609093180243
36,67,0.005,10000.0,12567.85953739414,0.25678595373941415,0.06776988058459503,9900.25,12631.014610446373
37,67,0.005,10000.0,12567.859537394152,0.25678595373941526,0.039306956424563076,9692.95712757061,12631.014610446384
38,67,0.005,10000.0,12567.859537394146,0.2567859537394146,0.04411042164244044,9801.495006250001,12631.014610446378
