feature,importance
volatility_rel,0.21879417715142613
atr,0.18422249055360787
dow,0.08205485573808985
swing_low,0.07778651860670016
swing_high,0.07258895257755392
body_pct,0.06970058584687283
session_hour,0.0693903667947821
upper_wick_pct,0.06844388104899428
lower_wick_pct,0.06540492098902383
engulf_bull,0.009871365299079948
direction,0.009803236775842042
ny,0.008872962836659145
london,0.0077309489129165415
sweep_high,0.0074863522576975264
large_body,0.007293030911396559
bull_fvg,0.00699655942968367
engulf_bear,0.006761463622014526
overlap,0.006645475811593926
sweep_low,0.006173274531621511
bear_fvg,0.005498121676487598
rejection_bear,0.004575331639250529
rejection_bull,0.0039051269887051955
