feature,importance
atr,0.2304131138585248
volatility_rel,0.20796315813110353
session_hour,0.09333261410597855
body_pct,0.08882789949668836
lower_wick_pct,0.08169762948218863
upper_wick_pct,0.08145140940114683
dow,0.05613838068288608
ny,0.028502784973726703
swing_low,0.020345885765856563
overlap,0.016139391670840948
large_body,0.009471890460667503
direction,0.009070904133229337
swing_high,0.008965601904293189
sweep_low,0.008932477795668395
engulf_bull,0.008820784247937353
bear_fvg,0.008503015354563352
london,0.008045976293906588
engulf_bear,0.00796364850589299
bull_fvg,0.007412473465649912
rejection_bear,0.00678082396104441
sweep_high,0.006158636214515235
rejection_bull,0.005061500093690691
