rule,samples,wins,losses,win_rate,expectancy_r,profit_factor
engulf_bull AND rejection_bull AND sweep_high,54,8,40,0.14814814814814814,0.2962962962962963,1.4
rejection_bear AND bull_fvg AND overlap,68,10,53,0.14705882352941177,0.25,1.320754716981132
engulf_bear AND rejection_bear AND sweep_high,70,10,54,0.14285714285714285,0.22857142857142856,1.2962962962962963
rejection_bear AND sweep_high AND overlap,66,9,49,0.13636363636363635,0.21212121212121213,1.2857142857142858
rejection_bear AND bull_fvg AND ny,80,11,62,0.1375,0.1875,1.2419354838709677
rejection_bull AND sweep_high,60,8,45,0.13333333333333333,0.18333333333333332,1.2444444444444445
engulf_bull AND sweep_high AND bull_fvg,278,38,221,0.1366906474820144,0.1618705035971223,1.2036199095022624
engulf_bull AND rejection_bull AND bull_fvg,140,18,109,0.12857142857142856,0.12142857142857143,1.1559633027522935
rejection_bull AND bull_fvg,156,20,122,0.1282051282051282,0.11538461538461539,1.1475409836065573
rejection_bear AND sweep_high AND ny,76,9,56,0.11842105263157894,0.09210526315789473,1.125
large_body AND bull_fvg AND london,290,37,239,0.12758620689655173,0.06896551724137931,1.0836820083682008
engulf_bear AND sweep_high AND london,74,9,58,0.12162162162162163,0.06756756756756757,1.0862068965517242
engulf_bull AND sweep_high AND london,262,34,222,0.1297709923664122,0.061068702290076333,1.072072072072072
engulf_bull AND bull_fvg AND london,550,69,459,0.12545454545454546,0.04363636363636364,1.0522875816993464
rejection_bear AND sweep_high AND bull_fvg,132,16,107,0.12121212121212122,0.03787878787878788,1.0467289719626167
engulf_bear AND rejection_bear AND sweep_low,52,6,41,0.11538461538461539,0.019230769230769232,1.024390243902439
engulf_bull AND sweep_high,930,107,745,0.11505376344086021,0.004301075268817204,1.0053691275167784
engulf_bull AND sweep_low AND london,90,11,77,0.12222222222222222,0.0,1.0
engulf_bull AND london,2688,316,2255,0.11755952380952381,-0.015997023809523808,0.9809312638580931
engulf_bull AND sweep_low AND overlap,48,5,36,0.10416666666666667,-0.020833333333333332,0.9722222222222222
engulf_bull AND rejection_bull AND overlap,200,21,153,0.105,-0.03,0.9607843137254902
bull_fvg AND london,872,99,729,0.11353211009174312,-0.04128440366972477,0.9506172839506173
sweep_high AND bull_fvg,686,75,557,0.10932944606413994,-0.04664723032069971,0.9425493716337523
rejection_bull AND bear_fvg AND london,78,8,60,0.10256410256410256,-0.05128205128205128,0.9333333333333333
engulf_bull AND large_body AND london,1124,127,949,0.11298932384341637,-0.05338078291814947,0.9367755532139094
sweep_high AND london,602,68,509,0.11295681063122924,-0.054817275747508304,0.9351669941060904
sweep_high,2296,244,1857,0.10627177700348432,-0.06489547038327526,0.9197630586968228
sweep_low AND london,606,67,509,0.11056105610561057,-0.066006600660066,0.9214145383104125
engulf_bear AND rejection_bear AND bear_fvg,134,14,107,0.1044776119402985,-0.06716417910447761,0.9158878504672897
sweep_high AND bull_fvg AND london,192,21,162,0.109375,-0.078125,0.9074074074074074
rejection_bear AND sweep_high,340,36,279,0.10588235294117647,-0.07941176470588235,0.9032258064516129
engulf_bull AND sweep_low,286,30,233,0.1048951048951049,-0.08041958041958042,0.9012875536480687
rejection_bear AND bear_fvg,174,18,140,0.10344827586206896,-0.08045977011494253,0.9
engulf_bull AND sweep_low AND ny,62,6,47,0.0967741935483871,-0.08064516129032258,0.8936170212765957
rejection_bull AND london,452,48,373,0.10619469026548672,-0.08185840707964602,0.900804289544236
london,8270,893,6935,0.10798065296251512,-0.08270858524788392,0.9013698630136986
engulf_bear AND sweep_low AND london,238,25,197,0.10504201680672269,-0.09243697478991597,0.8883248730964467
engulf_bear AND sweep_high,316,32,254,0.10126582278481013,-0.0949367088607595,0.8818897637795275
engulf_bull AND rejection_bull AND ny,238,23,186,0.09663865546218488,-0.10504201680672269,0.8655913978494624
large_body AND london,2788,292,2355,0.10473457675753228,-0.11154949784791966,0.8679405520169852
rejection_bear AND sweep_low,62,6,49,0.0967741935483871,-0.11290322580645161,0.8571428571428571
engulf_bull,13424,1348,10983,0.10041716328963052,-0.11524135876042908,0.8591459528362014
engulf_bull AND rejection_bull AND london,256,26,213,0.1015625,-0.12109375,0.8544600938967136
rejection_bear AND bull_fvg,342,34,281,0.09941520467836257,-0.12573099415204678,0.8469750889679716
rejection_bear AND overlap,362,34,285,0.09392265193370165,-0.1298342541436464,0.8350877192982457
rejection_bear AND ny AND overlap,362,34,285,0.09392265193370165,-0.1298342541436464,0.8350877192982457
engulf_bear AND london,2852,287,2382,0.10063113604488079,-0.13078541374474054,0.8434089000839631
bull_fvg,4214,412,3444,0.09776934029425724,-0.132890365448505,0.8373983739837398
engulf_bull AND bull_fvg,2646,259,2171,0.09788359788359788,-0.13529856386999245,0.8350990327038231
engulf_bear AND large_body AND london,1146,114,968,0.09947643979057591,-0.14834205933682373,0.8243801652892562
engulf_bull AND large_body AND sweep_low,132,13,111,0.09848484848484848,-0.15151515151515152,0.8198198198198198
rejection_bull AND sweep_low AND overlap,68,6,53,0.08823529411764706,-0.16176470588235295,0.7924528301886793
engulf_bull AND large_body,4182,389,3414,0.09301769488283118,-0.16523194643711142,0.7975981253661394
rejection_bull AND overlap,372,32,287,0.08602150537634409,-0.1693548387096774,0.7804878048780488
rejection_bull AND ny AND overlap,372,32,287,0.08602150537634409,-0.1693548387096774,0.7804878048780488
rejection_bull,2194,205,1808,0.09343664539653601,-0.17000911577028258,0.7936946902654868
engulf_bull AND rejection_bull AND sweep_low,66,6,54,0.09090909090909091,-0.18181818181818182,0.7777777777777778
engulf_bear,13020,1184,10726,0.09093701996927804,-0.18725038402457758,0.7727018459817266
engulf_bull AND rejection_bull,1236,113,1026,0.09142394822006472,-0.1901294498381877,0.7709551656920078
engulf_bull AND large_body AND bull_fvg,808,72,660,0.0891089108910891,-0.19306930693069307,0.7636363636363637
engulf_bear AND large_body,4068,355,3301,0.08726647000983284,-0.20058997050147492,0.7528021811572251
rejection_bear,2364,212,1975,0.08967851099830795,-0.20769881556683586,0.7513924050632912
engulf_bear AND large_body AND bear_fvg,726,61,578,0.08402203856749312,-0.20798898071625344,0.7387543252595156
large_body AND sweep_low AND london,152,14,130,0.09210526315789473,-0.21052631578947367,0.7538461538461538
large_body,10340,886,8418,0.08568665377176016,-0.21431334622823983,0.7367545735329056
engulf_bear AND sweep_low,972,85,805,0.0874485596707819,-0.21604938271604937,0.7391304347826086
large_body AND bear_fvg,996,82,799,0.0823293172690763,-0.22590361445783133,0.718397997496871
bear_fvg,4074,347,3353,0.08517427589592538,-0.2268041237113402,0.7244258872651357
rejection_bull AND bear_fvg,312,26,253,0.08333333333333333,-0.22756410256410256,0.7193675889328063
engulf_bear AND rejection_bear AND overlap,162,13,128,0.08024691358024691,-0.22839506172839505,0.7109375
engulf_bear AND sweep_high AND overlap,74,6,59,0.08108108108108109,-0.22972972972972974,0.711864406779661
sweep_low,2250,192,1862,0.08533333333333333,-0.23022222222222222,0.7218045112781954
rejection_bear AND sweep_high AND london,112,10,96,0.08928571428571429,-0.23214285714285715,0.7291666666666666
large_body AND bear_fvg AND overlap,296,22,223,0.07432432432432433,-0.23310810810810811,0.6905829596412556
engulf_bear AND bear_fvg,2506,210,2061,0.08379888268156424,-0.23583399840383082,0.7132459970887919
engulf_bear AND rejection_bear AND london,278,24,234,0.08633093525179857,-0.23741007194244604,0.717948717948718
large_body AND bull_fvg,1088,90,890,0.08272058823529412,-0.23897058823529413,0.7078651685393258
rejection_bull AND ny,454,35,354,0.07709251101321586,-0.24008810572687225,0.692090395480226
engulf_bear AND sweep_low AND bear_fvg,278,23,228,0.08273381294964029,-0.24100719424460432,0.706140350877193
engulf_bear AND rejection_bear,1220,104,1025,0.08524590163934426,-0.24344262295081967,0.7102439024390244
rejection_bull AND sweep_low AND ny,78,6,61,0.07692307692307693,-0.24358974358974358,0.6885245901639344
sweep_low AND bear_fvg AND london,160,14,137,0.0875,-0.24375,0.7153284671532847
rejection_bear AND ny,470,37,374,0.07872340425531915,-0.24468085106382978,0.6925133689839572
rejection_bull AND sweep_low,294,24,242,0.08163265306122448,-0.25170068027210885,0.6942148760330579
bear_fvg AND london,830,71,707,0.0855421686746988,-0.25301204819277107,0.7029702970297029
large_body AND bear_fvg AND ny,326,23,246,0.0705521472392638,-0.2607361963190184,0.6544715447154471
sweep_low AND bear_fvg,668,54,555,0.08083832335329341,-0.26497005988023953,0.6810810810810811
engulf_bull AND large_body AND sweep_high,220,17,179,0.07727272727272727,-0.2727272727272727,0.664804469273743
engulf_bear AND large_body AND sweep_low,276,21,224,0.07608695652173914,-0.27898550724637683,0.65625
engulf_bear AND sweep_high AND ny,82,6,65,0.07317073170731707,-0.2804878048780488,0.6461538461538462
large_body AND sweep_high AND london,134,11,115,0.08208955223880597,-0.2835820895522388,0.6695652173913044
engulf_bear AND bear_fvg AND london,528,43,451,0.08143939393939394,-0.2840909090909091,0.6674057649667405
engulf_bear AND large_body AND sweep_high,130,10,107,0.07692307692307693,-0.2846153846153846,0.6542056074766355
sweep_high AND bull_fvg AND ny,170,12,133,0.07058823529411765,-0.28823529411764703,0.631578947368421
rejection_bull AND sweep_low AND bear_fvg,142,11,118,0.07746478873239436,-0.2887323943661972,0.652542372881356
rejection_bear AND london,502,41,432,0.08167330677290836,-0.28884462151394424,0.6643518518518519
large_body AND sweep_high AND bull_fvg,106,8,87,0.07547169811320754,-0.29245283018867924,0.6436781609195402
engulf_bear AND bear_fvg AND overlap,400,26,300,0.065,-0.295,0.6066666666666667
engulf_bear AND bear_fvg AND ny,506,33,381,0.06521739130434782,-0.2964426877470356,0.6062992125984252
large_body AND sweep_high,568,42,465,0.07394366197183098,-0.301056338028169,0.632258064516129
engulf_bull AND ny,2624,177,2047,0.06745426829268293,-0.3079268292682927,0.605276013678554
engulf_bull AND overlap,2098,141,1636,0.06720686367969494,-0.30934223069590083,0.6033007334963325
engulf_bull AND ny AND overlap,2098,141,1636,0.06720686367969494,-0.30934223069590083,0.6033007334963325
engulf_bull AND sweep_high AND ny,212,13,159,0.06132075471698113,-0.32075471698113206,0.5723270440251572
sweep_high AND ny,584,37,451,0.06335616438356165,-0.3287671232876712,0.5742793791574279
sweep_high AND bull_fvg AND overlap,150,10,120,0.06666666666666667,-0.3333333333333333,0.5833333333333334
large_body AND sweep_low,586,41,484,0.06996587030716724,-0.3361774744027304,0.5929752066115702
bear_fvg AND overlap,668,41,514,0.061377245508982034,-0.3398203592814371,0.5583657587548638
bear_fvg AND ny AND overlap,668,41,514,0.061377245508982034,-0.3398203592814371,0.5583657587548638
large_body AND bear_fvg AND london,264,20,231,0.07575757575757576,-0.3446969696969697,0.6060606060606061
engulf_bear AND rejection_bear AND ny,228,15,184,0.06578947368421052,-0.34649122807017546,0.5706521739130435
engulf_bull AND large_body AND overlap,1092,70,873,0.0641025641025641,-0.3507326007326007,0.561282932416953
engulf_bear AND large_body AND overlap,1060,63,822,0.059433962264150944,-0.3594339622641509,0.5364963503649635
engulf_bull AND large_body AND ny,1300,81,1038,0.06230769230769231,-0.36230769230769233,0.546242774566474
bear_fvg AND ny,826,48,638,0.05811138014527845,-0.36561743341404357,0.5266457680250783
sweep_high AND overlap,508,30,396,0.05905511811023622,-0.3661417322834646,0.5303030303030303
sweep_high AND ny AND overlap,508,30,396,0.05905511811023622,-0.3661417322834646,0.5303030303030303
overlap,6612,390,5186,0.05898366606170599,-0.37144585601935876,0.5264172772849981
ny AND overlap,6612,390,5186,0.05898366606170599,-0.37144585601935876,0.5264172772849981
engulf_bear AND overlap,2040,117,1589,0.057352941176470586,-0.37745098039215685,0.5154185022026432
engulf_bear AND ny AND overlap,2040,117,1589,0.057352941176470586,-0.37745098039215685,0.5154185022026432
rejection_bull AND sweep_low AND london,76,5,64,0.06578947368421052,-0.3815789473684211,0.546875
ny,8264,475,6479,0.057478218780251694,-0.38165537270087124,0.5131964809384164
engulf_bear AND large_body AND ny,1242,70,965,0.05636070853462158,-0.3824476650563607,0.5077720207253886
rejection_bear AND bull_fvg AND london,72,5,63,0.06944444444444445,-0.3888888888888889,0.5555555555555556
engulf_bear AND ny,2618,145,2043,0.05538579067990833,-0.39266615737203975,0.4968184043073911
engulf_bull AND sweep_high AND overlap,174,9,132,0.05172413793103448,-0.39655172413793105,0.4772727272727273
large_body AND overlap,2944,165,2328,0.05604619565217391,-0.3984375,0.4961340206185567
large_body AND ny AND overlap,2944,165,2328,0.05604619565217391,-0.3984375,0.4961340206185567
engulf_bear AND sweep_low AND overlap,200,11,157,0.055,-0.4,0.49044585987261147
large_body AND ny,3406,184,2691,0.0540223135642983,-0.4119201409277745,0.47863247863247865
sweep_low AND overlap,480,25,379,0.052083333333333336,-0.425,0.46174142480211083
sweep_low AND ny AND overlap,480,25,379,0.052083333333333336,-0.425,0.46174142480211083
bull_fvg AND ny,884,47,708,0.053167420814479636,-0.4287330316742081,0.4646892655367232
bull_fvg AND overlap,734,39,591,0.05313351498637602,-0.4332425068119891,0.4619289340101523
bull_fvg AND ny AND overlap,734,39,591,0.05313351498637602,-0.4332425068119891,0.4619289340101523
engulf_bear AND sweep_low AND ny,242,12,189,0.049586776859504134,-0.43388429752066116,0.4444444444444444
large_body AND sweep_low AND bear_fvg,96,5,77,0.052083333333333336,-0.4375,0.45454545454545453
sweep_low AND ny,584,28,461,0.04794520547945205,-0.4537671232876712,0.42516268980477223
engulf_bull AND bull_fvg AND ny,528,26,427,0.04924242424242424,-0.4640151515151515,0.4262295081967213
sweep_low AND bear_fvg AND overlap,146,7,118,0.04794520547945205,-0.4726027397260274,0.4152542372881356
