rule,samples,wins,losses,win_rate,expectancy_r,profit_factor
large_body AND bear_fvg AND ny,143,14,112,0.0979020979020979,-0.2937062937062937,0.625
engulf_bull AND sweep_high AND london,115,13,100,0.11304347826086956,-0.30434782608695654,0.65
large_body AND bear_fvg AND overlap,125,12,100,0.096,-0.32,0.6
sweep_high AND bull_fvg AND ny,90,9,74,0.1,-0.32222222222222224,0.6081081081081081
engulf_bear AND rejection_bear AND bear_fvg,48,5,41,0.10416666666666667,-0.3333333333333333,0.6097560975609756
rejection_bull AND sweep_high,42,4,38,0.09523809523809523,-0.42857142857142855,0.5263157894736842
sweep_low AND bear_fvg AND london,63,5,55,0.07936507936507936,-0.47619047619047616,0.45454545454545453
rejection_bull AND sweep_low AND london,38,3,34,0.07894736842105263,-0.5,0.4411764705882353
large_body AND sweep_high AND london,39,3,35,0.07692307692307693,-0.5128205128205128,0.42857142857142855
engulf_bull AND rejection_bull AND sweep_high,35,2,33,0.05714285714285714,-0.6571428571428571,0.30303030303030304
