symbol,timeframe,side,rule,entry,stop_loss,take_profit,risk_r,reward_r,candle_index,valid,reason,exit_index,outcome,r_result,management,first_partial_taken,second_partial_taken,breakeven_done,trail_active,active_sl,mfe_r,mae_r
USDJPY,M30,long,rejection_bull AND bull_fvg AND london,159.257,158.78242857142857,161.6298571428572,1.0,5.0,19108,True,Rule met. Bullish FVG midpoint retracement entry generated.,19205,hybrid_exit_profit,2.2499247441300247,hybrid_profile,True,True,True,True,160.206,3.080674292594744,0.0
USDJPY,M30,long,rejection_bull AND bull_fvg AND london,159.744,159.52962857142856,160.8158571428572,1.0,5.0,19160,True,Rule met. Bullish FVG midpoint retracement entry generated.,19189,hybrid_exit_profit,2.2409702785552104,hybrid_profile,True,True,True,True,160.165,3.3959749433558577,0.05131280821002654
USDJPY,M30,long,rejection_bull AND bull_fvg AND london,159.7865,159.513,161.1539999999999,1.0,5.0,19165,True,Rule met. Bullish FVG midpoint retracement entry generated.,19205,hybrid_exit_profit,2.133455210237681,hybrid_profile,True,True,True,True,160.206,3.4095063985376894,0.07129798903105942
