run,trades,ending_r,max_drawdown_r,min_equity_r,max_equity_r
154,21,21.0,4.0,-5.0,22.0
155,21,21.0,3.0,-4.0,22.0
156,21,21.0,5.0,3.0,22.0
157,21,21.0,5.0,-4.0,21.0
158,21,21.0,5.0,3.0,22.0
159,21,21.0,5.0,5.0,26.0
160,21,21.0,4.0,-2.0,22.0
161,21,21.0,4.0,-3.0,23.0
162,21,21.0,4.0,-5.0,21.0
163,21,21.0,5.0,-4.0,21.0
164,21,21.0,6.0,-2.0,22.0
165,21,21.0,7.0,5.0,21.0
166,21,21.0,8.0,1.0,22.0
167,21,21.0,7.0,1.0,23.0
168,21,21.0,5.0,-1.0,22.0
169,21,21.0,6.0,-1.0,21.0
170,21,21.0,9.0,5.0,23.0
171,21,21.0,5.0,5.0,24.0
172,21,21.0,4.0,-1.0,22.0
173,21,21.0,7.0,-2.0,21.0
174,21,21.0,4.0,-5.0,23.0
175,21,21.0,4.0,1.0,25.0
176,21,21.0,4.0,-2.0,25.0
177,21,21.0,4.0,-1.0,23.0
178,21,21.0,6.0,-1.0,23.0
179,21,21.0,5.0,-4.0,26.0
180,21,21.0,5.0,4.0,26.0
181,21,21.0,4.0,2.0,21.0
182,21,21.0,6.0,5.0,22.0
183,21,21.0,11.0,-1.0,21.0
184,21,21.0,4.0,4.0,23.0
185,21,21.0,5.0,5.0,24.0
186,21,21.0,7.0,-1.0,22.0
187,21,21.0,6.0,-7.0,22.0
188,21,21.0,5.0,-1.0,24.0
189,21,21.0,5.0,4.0,25.0
190,21,21.0,9.0,-1.0,21.0
191,21,21.0,6.0,5.0,24.0
192,21,21.0,5.0,-4.0,21.0
193,21,21.0,6.0,5.0,23.0
194,21,21.0,5.0,-1.0,22.0
195,21,21.0,4.0,-2.0,24.0
196,21,21.0,7.0,-8.0,21.0
197,21,21.0,5.0,-5.0,21.0
198,21,21.0,6.0,-2.0,23.0
199,21,21.0,5.0,-2.0,21.0
200,21,21.0,5.0,4.0,26.0
201,21,21.0,6.0,2.0,27.0
202,21,21.0,7.0,-3.0,21.0
203,21,21.0,8.0,-3.0,22.0
204,21,21.0,5.0,-3.0,23.0
205,21,21.0,9.0,-10.0,21.0
206,21,21.0,4.0,-5.0,21.0
207,21,21.0,8.0,-7.0,21.0
208,21,21.0,4.0,-1.0,21.0
209,21,21.0,4.0,-2.0,22.0
210,21,21.0,4.0,-3.0,21.0
211,21,21.0,4.0,2.0,24.0
212,21,21.0,5.0,-4.0,22.0
213,21,21.0,8.0,5.0,28.0
214,21,21.0,7.0,-2.0,22.0
215,21,21.0,5.0,-1.0,23.0
216,21,21.0,4.0,-1.0,25.0
217,21,21.0,5.0,3.0,23.0
218,21,21.0,4.0,-1.0,22.0
219,21,21.0,9.0,0.0,23.0
220,21,21.0,5.0,-2.0,23.0
221,21,21.0,10.0,-5.0,22.0
222,21,21.0,3.0,-3.0,24.0
223,21,21.0,9.0,-5.0,21.0
224,21,21.0,6.0,-2.0,21.0
225,21,21.0,4.0,-3.0,21.0
226,21,21.0,7.0,-1.0,25.0
227,21,21.0,5.0,-6.0,21.0
228,21,21.0,5.0,3.0,23.0
229,21,21.0,4.0,-4.0,22.0
230,21,21.0,4.0,-3.0,25.0
231,21,21.0,4.0,-4.0,22.0
232,21,21.0,6.0,-2.0,24.0
233,21,21.0,3.0,-2.0,21.0
234,21,21.0,5.0,1.0,26.0
235,21,21.0,5.0,-1.0,22.0
236,21,21.0,4.0,-1.0,25.0
237,21,21.0,4.0,-1.0,25.0
238,21,21.0,10.0,-11.0,23.0
239,21,21.0,7.0,1.0,23.0
240,21,21.0,4.0,1.0,23.0
241,21,21.0,6.0,-1.0,21.0
242,21,21.0,5.0,4.0,23.0
243,21,21.0,4.0,-5.0,23.0
244,21,21.0,4.0,-5.0,23.0
245,21,21.0,8.0,5.0,25.0
246,21,21.0,5.0,-2.0,22.0
247,21,21.0,8.0,4.0,29.0
248,21,21.0,6.0,-1.0,23.0
249,21,21.0,4.0,1.0,23.0
250,21,21.0,6.0,-1.0,22.0
251,21,21.0,3.0,-3.0,24.0
252,21,21.0,7.0,-2.0,22.0
253,21,21.0,8.0,-3.0,21.0
254,21,21.0,8.0,4.0,29.0
255,21,21.0,5.0,-4.0,21.0
256,21,21.0,4.0,-3.0,25.0
257,21,21.0,5.0,-2.0,25.0
258,21,21.0,6.0,-1.0,22.0
259,21,21.0,9.0,4.0,30.0
260,21,21.0,3.0,-4.0,22.0
261,21,21.0,6.0,5.0,22.0
262,21,21.0,5.0,-2.0,21.0
263,21,21.0,5.0,-4.0,22.0
264,21,21.0,4.0,-3.0,21.0
265,21,21.0,5.0,-2.0,22.0
266,21,21.0,4.0,-5.0,21.0
267,21,21.0,3.0,-4.0,22.0
268,21,21.0,3.0,-4.0,21.0
269,21,21.0,4.0,-2.0,23.0
270,21,21.0,4.0,-3.0,22.0
271,21,21.0,3.0,-1.0,23.0
272,21,21.0,3.0,-4.0,23.0
273,21,21.0,3.0,-1.0,22.0
274,21,21.0,7.0,-2.0,23.0
275,21,21.0,5.0,-1.0,21.0
276,21,21.0,4.0,5.0,22.0
