run,trades,risk_per_trade,starting_balance,ending_balance,net_return_pct,max_drawdown_pct,min_balance,max_balance
1,21,0.005,10000.0,11081.28662089509,0.108128662089509,0.01985049937499995,9752.48753121875,11136.971478286523
2,21,0.005,10000.0,11081.286620895087,0.10812866208950878,0.034479353190515795,10250.0,11423.84848984386
3,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.019850499374999858,9801.495006250001,11136.971478286521
4,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.029627490643734326,9946.318220901723,11136.971478286521
5,21,0.005,10000.0,11081.286620895084,0.10812866208950833,0.03930695642456314,9900.25,11534.679776230672
6,21,0.005,10000.0,11081.286620895085,0.10812866208950855,0.014925125000000055,9900.25,11192.936159081928
7,21,0.005,10000.0,11081.286620895087,0.10812866208950878,0.019850499375000025,9850.74875,11136.97147828652
8,21,0.005,10000.0,11081.286620895085,0.10812866208950855,0.019850499375000025,10097.01746875,11136.971478286518
9,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.029627490643734357,9900.25,11081.286620895089
10,21,0.005,10000.0,11081.286620895087,0.10812866208950878,0.01985049937500003,10198.75,11136.97147828652
11,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.024751246878125008,9703.725093562656,11136.971478286521
12,21,0.005,10000.0,11081.28662089509,0.108128662089509,0.029627490643734326,9946.318220901723,11136.971478286523
13,21,0.005,10000.0,11081.286620895087,0.10812866208950878,0.024751246878124977,9850.74875,11362.52323873546
14,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.01492512499999981,9850.74875,11081.286620895089
15,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.02962749064373444,10250.0,11253.346123151881
16,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.024751246878124973,9950.0,11362.523238735463
17,21,0.005,10000.0,11081.28662089509,0.108128662089509,0.029627490643734235,9847.10369664823,11192.936159081934
18,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.03447935319051581,9950.0,11309.89560115767
19,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.02475124687812501,9950.0,11085.388525595574
20,21,0.005,10000.0,11081.286620895087,0.10812866208950878,0.03447935319051547,10250.0,11249.182069429075
21,21,0.005,10000.0,11081.286620895087,0.10812866208950878,0.014925124999999966,9950.0,11192.93615908193
22,21,0.005,10000.0,11081.286620895085,0.10812866208950855,0.02475124687812502,10198.75,11085.38852559557
23,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.029627490643734298,10250.0,11419.621345462776
24,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.04888986953422793,9748.878837274164,11081.286620895089
25,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.01985049937500006,9801.495006250001,11081.286620895089
26,21,0.005,10000.0,11081.286620895087,0.10812866208950878,0.02475124687812491,10194.976176424267,11081.286620895087
27,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.03930695642456297,9797.868178164988,11192.936159081932
28,21,0.005,10000.0,11081.28662089509,0.108128662089509,0.019850499374999914,9900.25,11305.710622541787
29,21,0.005,10000.0,11081.28662089509,0.108128662089509,0.03447935319051559,9896.586629797215,11081.28662089509
30,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.019850499374999955,9850.74875,11305.710622541785
31,21,0.005,10000.0,11081.286620895085,0.10812866208950855,0.0247512468781249,9850.74875,11192.936159081928
32,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.029627490643734326,9946.318220901723,11192.936159081932
33,21,0.005,10000.0,11081.286620895087,0.10812866208950878,0.03930695642456327,9558.895783575595,11305.710622541783
34,21,0.005,10000.0,11081.286620895087,0.10812866208950878,0.025112116272583643,9850.74875,11089.491948677696
35,21,0.005,10000.0,11081.28662089509,0.108128662089509,0.04411042164244004,9950.0,11081.28662089509
36,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.01985049937499999,10147.75625,11305.710622541785
37,21,0.005,10000.0,11081.28662089509,0.108128662089509,0.02475124687812485,9847.10369664823,11081.28662089509
38,21,0.005,10000.0,11081.286620895084,0.10812866208950833,0.03930695642456314,10198.75,11534.679776230672
39,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.014925124999999966,9950.0,11136.971478286521
40,21,0.005,10000.0,11081.286620895085,0.10812866208950855,0.04411042164244047,9511.101304657717,11081.286620895085
41,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.03930695642456316,9900.25,11253.346123151881
42,21,0.005,10000.0,11081.286620895087,0.10812866208950878,0.03447935319051547,10250.0,11081.286620895087
43,21,0.005,10000.0,11081.286620895085,0.10812866208950855,0.04888986953422822,9950.0,11366.72924739464
44,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.02475124687812501,9850.74875,11085.388525595574
45,21,0.005,10000.0,11081.286620895087,0.10812866208950878,0.024751246878125008,9703.725093562656,11249.182069429075
46,21,0.005,10000.0,11081.28662089509,0.108128662089509,0.044110421642440154,9797.868178164988,11192.936159081934
47,21,0.005,10000.0,11081.286620895085,0.10812866208950855,0.0344793531905158,10250.0,11423.848489843858
48,21,0.005,10000.0,11081.28662089509,0.108128662089509,0.014925124999999994,9801.495006250001,11081.28662089509
49,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.02475124687812485,9900.25,11192.936159081932
50,21,0.005,10000.0,11081.28662089509,0.108128662089509,0.01492512499999989,9801.495006250001,11192.936159081934
51,21,0.005,10000.0,11081.28662089509,0.108128662089509,0.019850499375000018,9950.0,11136.971478286523
52,21,0.005,10000.0,11081.286620895087,0.10812866208950878,0.019850499375000066,10250.0,11249.182069429075
53,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.01492512500000004,9850.74875,11192.936159081932
54,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.024751246878125015,9950.0,11197.079392536121
55,21,0.005,10000.0,11081.286620895087,0.10812866208950878,0.024751246878124973,9950.0,11081.286620895087
56,21,0.005,10000.0,11081.28662089509,0.108128662089509,0.02475124687812497,9801.495006250001,11362.523238735464
57,21,0.005,10000.0,11081.28662089509,0.108128662089509,0.014925124999999918,9801.495006250001,11136.971478286523
58,21,0.005,10000.0,11081.286620895089,0.108128662089509,0.02475124687812481,10198.75,11136.971478286521
59,21,0.005,10000.0,11081.286620895087,0.10812866208950878,0.01985049937499995,9752.48753121875,11136.97147828652
