feature,importance
swing_low,0.14629658684127125
volatility_rel,0.1434878697392123
swing_high,0.14140765415219939
atr,0.13447777794788213
lower_wick_pct,0.07279387745393888
upper_wick_pct,0.07076639500803852
body_pct,0.0680901579922279
dow,0.06596429454678046
session_hour,0.0569416762156269
sweep_high,0.01619905775088128
engulf_bull,0.010135364664673413
direction,0.00989713932975929
london,0.00851030701359704
sweep_low,0.007902402753552541
large_body,0.007542176345885542
bull_fvg,0.007055724671094283
bear_fvg,0.006974669205841474
ny,0.006605372082057298
engulf_bear,0.0063929114946012135
overlap,0.005791929627593943
rejection_bull,0.003510812963564932
rejection_bear,0.0032558421997202253
