rule,samples,wins,losses,win_rate,expectancy_r,profit_factor
engulf_bear AND sweep_high,158,65,88,0.41139240506329117,0.26582278481012656,1.4772727272727273
engulf_bear AND rejection_bear AND london,139,52,83,0.37410071942446044,0.1510791366906475,1.2530120481927711
engulf_bear AND bear_fvg AND overlap,201,73,118,0.36318407960199006,0.13930348258706468,1.2372881355932204
engulf_bear AND bear_fvg AND ny,254,89,151,0.35039370078740156,0.1062992125984252,1.1788079470198676
engulf_bull AND large_body AND london,565,205,352,0.36283185840707965,0.10265486725663717,1.1647727272727273
large_body AND bull_fvg AND london,147,53,91,0.36054421768707484,0.10204081632653061,1.164835164835165
engulf_bull AND bull_fvg AND london,276,99,174,0.358695652173913,0.08695652173913043,1.1379310344827587
engulf_bull AND large_body AND sweep_high,112,38,67,0.3392857142857143,0.08035714285714286,1.1343283582089552
bull_fvg AND london,438,154,275,0.3515981735159817,0.07534246575342465,1.12
rejection_bear AND london,251,88,158,0.350597609561753,0.07171314741035857,1.1139240506329113
sweep_high AND ny,293,96,171,0.32764505119453924,0.07167235494880546,1.1228070175438596
rejection_bear AND bear_fvg,87,29,52,0.3333333333333333,0.06896551724137931,1.1153846153846154
sweep_high AND bull_fvg AND london,96,34,62,0.3541666666666667,0.0625,1.096774193548387
engulf_bull AND sweep_high AND ny,107,35,64,0.32710280373831774,0.056074766355140186,1.09375
rejection_bear AND sweep_high,170,57,106,0.3352941176470588,0.047058823529411764,1.0754716981132075
large_body AND bear_fvg AND overlap,149,48,89,0.3221476510067114,0.04697986577181208,1.0786516853932584
engulf_bull AND overlap,1052,337,633,0.3203422053231939,0.03897338403041825,1.0647709320695102
engulf_bull AND ny AND overlap,1052,337,633,0.3203422053231939,0.03897338403041825,1.0647709320695102
bear_fvg AND overlap,335,108,203,0.32238805970149254,0.03880597014925373,1.064039408866995
bear_fvg AND ny AND overlap,335,108,203,0.32238805970149254,0.03880597014925373,1.064039408866995
engulf_bear AND rejection_bear AND overlap,81,26,49,0.32098765432098764,0.037037037037037035,1.0612244897959184
engulf_bear AND large_body AND bear_fvg,364,121,229,0.3324175824175824,0.03571428571428571,1.056768558951965
sweep_high AND bull_fvg AND ny,86,28,53,0.32558139534883723,0.03488372093023256,1.0566037735849056
large_body AND sweep_high AND ny,121,36,68,0.2975206611570248,0.03305785123966942,1.0588235294117647
engulf_bull AND ny,1316,416,790,0.3161094224924012,0.031914893617021274,1.0531645569620254
large_body AND bear_fvg AND ny,164,52,99,0.3170731707317073,0.03048780487804878,1.0505050505050506
sweep_high AND bull_fvg,344,114,221,0.3313953488372093,0.020348837209302327,1.0316742081447965
engulf_bear AND bear_fvg,1259,415,805,0.329626687847498,0.019857029388403495,1.031055900621118
sweep_high,1150,377,733,0.3278260869565217,0.018260869565217393,1.028649386084584
large_body AND sweep_high,286,90,177,0.3146853146853147,0.01048951048951049,1.0169491525423728
sweep_high AND overlap,255,78,154,0.3058823529411765,0.00784313725490196,1.0129870129870129
sweep_high AND ny AND overlap,255,78,154,0.3058823529411765,0.00784313725490196,1.0129870129870129
overlap,3322,1021,2021,0.3073449729078868,0.006321493076459964,1.0103908955962395
ny AND overlap,3322,1021,2021,0.3073449729078868,0.006321493076459964,1.0103908955962395
large_body AND london,1403,456,904,0.32501781895937276,0.005702066999287242,1.008849557522124
bear_fvg AND ny,414,129,257,0.3115942028985507,0.0024154589371980675,1.0038910505836576
engulf_bull AND large_body,2098,663,1326,0.31601525262154434,0.0,1.0
engulf_bull AND sweep_high AND bull_fvg,140,46,92,0.32857142857142857,0.0,1.0
large_body AND sweep_high AND overlap,114,33,66,0.2894736842105263,0.0,1.0
engulf_bear AND overlap,1023,314,629,0.3069403714565005,-0.0009775171065493646,0.9984101748807631
engulf_bear AND ny AND overlap,1023,314,629,0.3069403714565005,-0.0009775171065493646,0.9984101748807631
engulf_bull,6729,2155,4322,0.32025561004606923,-0.0017833259028087382,0.9972235076353541
engulf_bull AND large_body AND overlap,548,166,334,0.3029197080291971,-0.0036496350364963502,0.9940119760479041
engulf_bull AND large_body AND bull_fvg,406,127,256,0.312807881773399,-0.0049261083743842365,0.9921875
engulf_bull AND london,1348,440,888,0.3264094955489614,-0.005934718100890208,0.990990990990991
engulf_bear AND large_body AND sweep_low,138,44,89,0.3188405797101449,-0.007246376811594203,0.9887640449438202
engulf_bull AND sweep_high,467,150,304,0.32119914346895073,-0.008565310492505354,0.9868421052631579
ny,4152,1248,2542,0.30057803468208094,-0.011078998073217727,0.981904012588513
engulf_bull AND rejection_bull,619,197,403,0.3182552504038772,-0.014539579967689823,0.9776674937965261
engulf_bear AND london,1430,455,931,0.3181818181818182,-0.014685314685314685,0.9774436090225563
engulf_bull AND large_body AND ny,653,193,396,0.29555895865237364,-0.015313935681470138,0.9747474747474747
engulf_bear AND bear_fvg AND london,265,84,173,0.3169811320754717,-0.018867924528301886,0.9710982658959537
engulf_bull AND rejection_bull AND overlap,100,31,64,0.31,-0.02,0.96875
engulf_bear AND ny,1313,394,817,0.3000761614623001,-0.022086824067022087,0.9645042839657283
london,4152,1319,2732,0.31767822736030826,-0.022639691714836225,0.9655929721815519
large_body AND bull_fvg,547,166,347,0.30347349177330896,-0.027422303473491772,0.9567723342939481
engulf_bear AND rejection_bear,610,189,395,0.30983606557377047,-0.027868852459016394,0.9569620253164557
large_body,5192,1578,3321,0.3039291217257319,-0.03177966101694915,0.950316169828365
bull_fvg,2114,651,1373,0.3079470198675497,-0.03358561967833491,0.9482884195193008
engulf_bear AND large_body,2039,623,1315,0.30554193231976456,-0.033840117704757235,0.9475285171102662
rejection_bear AND bull_fvg,171,52,110,0.30409356725146197,-0.03508771929824561,0.9454545454545454
large_body AND overlap,1478,429,912,0.2902571041948579,-0.036535859269282815,0.9407894736842105
large_body AND ny AND overlap,1478,429,912,0.2902571041948579,-0.036535859269282815,0.9407894736842105
large_body AND ny,1711,492,1054,0.2875511396843951,-0.040911747516072475,0.9335863377609108
engulf_bull AND rejection_bull AND ny,119,36,77,0.3025210084033613,-0.04201680672268908,0.935064935064935
engulf_bear AND rejection_bear AND ny,114,33,71,0.2894736842105263,-0.043859649122807015,0.9295774647887324
bear_fvg,2044,628,1349,0.30724070450097846,-0.045499021526418784,0.9310600444773907
engulf_bear AND large_body AND ny,623,184,397,0.2953451043338684,-0.04654895666131621,0.9269521410579346
engulf_bear AND large_body AND overlap,531,157,340,0.295668549905838,-0.04896421845574388,0.9235294117647059
engulf_bear,6529,1984,4298,0.30387501914535153,-0.05054372798284577,0.9232201023731968
large_body AND bear_fvg,500,150,327,0.3,-0.054,0.9174311926605505
engulf_bear AND large_body AND london,574,172,376,0.29965156794425085,-0.05574912891986063,0.9148936170212766
engulf_bull AND sweep_high AND overlap,88,26,57,0.29545454545454547,-0.056818181818181816,0.9122807017543859
