feature,importance
atr,0.1437740502065011
volatility_rel,0.13976658284266383
upper_wick_pct,0.09698189679245903
lower_wick_pct,0.09618238863592213
body_pct,0.09141877479011266
session_hour,0.08559751609118663
swing_high,0.06644743766076018
swing_low,0.06487797735195666
dow,0.06301400100203777
ny,0.025887106262968453
overlap,0.016142691711544723
sweep_low,0.016099071904541604
direction,0.01266266759282402
large_body,0.011597411737579895
engulf_bull,0.011411235043417362
engulf_bear,0.011041301158542583
bear_fvg,0.009874935725673968
london,0.00859765361569483
sweep_high,0.008190360350946427
bull_fvg,0.007366385261582945
rejection_bear,0.006755809699026412
rejection_bull,0.006312744562056759
