rule,samples,wins,losses,win_rate,expectancy_r,profit_factor
rejection_bear AND sweep_high AND bull_fvg,10,1,6,0.1,-0.1,0.8333333333333334
rejection_bear AND bear_fvg,28,3,18,0.10714285714285714,-0.10714285714285714,0.8333333333333334
rejection_bear AND sweep_high,42,4,26,0.09523809523809523,-0.14285714285714285,0.7692307692307693
engulf_bear AND rejection_bear AND bear_fvg,10,1,7,0.1,-0.2,0.7142857142857143
engulf_bull AND sweep_high,76,8,57,0.10526315789473684,-0.2236842105263158,0.7017543859649122
engulf_bear AND sweep_low AND bear_fvg,44,4,32,0.09090909090909091,-0.2727272727272727,0.625
large_body AND sweep_high,72,6,50,0.08333333333333333,-0.2777777777777778,0.6
engulf_bull AND sweep_high AND bull_fvg,30,3,24,0.1,-0.3,0.625
large_body AND bull_fvg,154,12,107,0.07792207792207792,-0.3051948051948052,0.5607476635514018
sweep_high,282,22,197,0.07801418439716312,-0.30851063829787234,0.5583756345177665
sweep_low AND bear_fvg,116,10,86,0.08620689655172414,-0.3103448275862069,0.5813953488372093
engulf_bear AND rejection_bear,130,10,93,0.07692307692307693,-0.33076923076923076,0.5376344086021505
large_body AND sweep_low AND bear_fvg,12,1,9,0.08333333333333333,-0.3333333333333333,0.5555555555555556
rejection_bull AND bear_fvg,50,4,37,0.08,-0.34,0.5405405405405406
bear_fvg,758,55,538,0.07255936675461741,-0.3469656992084433,0.5111524163568774
engulf_bear AND large_body AND sweep_high,22,1,13,0.045454545454545456,-0.36363636363636365,0.38461538461538464
rejection_bear,300,19,206,0.06333333333333334,-0.37,0.46116504854368934
engulf_bear,1702,113,1209,0.06639247943595769,-0.3783783783783784,0.46732837055417703
engulf_bull AND large_body AND bull_fvg,100,7,73,0.07,-0.38,0.4794520547945205
engulf_bear AND bear_fvg,370,25,268,0.06756756756756757,-0.3864864864864865,0.4664179104477612
engulf_bull AND large_body,646,42,460,0.06501547987616099,-0.38699690402476783,0.45652173913043476
engulf_bull AND rejection_bull AND sweep_low,18,1,12,0.05555555555555555,-0.3888888888888889,0.4166666666666667
large_body,1694,104,1197,0.06139315230224321,-0.39964580873671784,0.4344193817878028
engulf_bull,1784,113,1288,0.0633408071748879,-0.4052690582959641,0.4386645962732919
engulf_bull AND sweep_low,64,4,46,0.0625,-0.40625,0.43478260869565216
engulf_bull AND large_body AND sweep_high,22,2,19,0.09090909090909091,-0.4090909090909091,0.5263157894736842
engulf_bear AND sweep_low,146,8,102,0.0547945205479452,-0.4246575342465753,0.39215686274509803
bull_fvg,716,42,520,0.05865921787709497,-0.4329608938547486,0.40384615384615385
sweep_low,366,21,264,0.05737704918032787,-0.4344262295081967,0.3977272727272727
engulf_bear AND large_body,620,34,442,0.054838709677419356,-0.43870967741935485,0.38461538461538464
engulf_bull AND bull_fvg,332,19,245,0.0572289156626506,-0.45180722891566266,0.3877551020408163
rejection_bull,296,15,212,0.05067567567567568,-0.46283783783783783,0.35377358490566035
engulf_bear AND sweep_high,56,2,36,0.03571428571428571,-0.4642857142857143,0.2777777777777778
engulf_bull AND rejection_bull,140,7,101,0.05,-0.4714285714285714,0.3465346534653465
sweep_high AND bull_fvg,96,5,72,0.052083333333333336,-0.4895833333333333,0.3472222222222222
engulf_bear AND large_body AND bear_fvg,98,5,74,0.05102040816326531,-0.5,0.33783783783783783
engulf_bull AND large_body AND sweep_low,26,1,19,0.038461538461538464,-0.5384615384615384,0.2631578947368421
large_body AND bear_fvg,138,5,103,0.036231884057971016,-0.5652173913043478,0.24271844660194175
rejection_bull AND sweep_low,64,2,49,0.03125,-0.609375,0.20408163265306123
rejection_bear AND bull_fvg,60,1,42,0.016666666666666666,-0.6166666666666667,0.11904761904761904
engulf_bear AND large_body AND sweep_low,42,1,31,0.023809523809523808,-0.6190476190476191,0.16129032258064516
large_body AND sweep_low,90,2,67,0.022222222222222223,-0.6333333333333333,0.14925373134328357
rejection_bull AND sweep_low AND bear_fvg,28,1,23,0.03571428571428571,-0.6428571428571429,0.21739130434782608
engulf_bear AND rejection_bear AND sweep_high,18,0,12,0.0,-0.6666666666666666,0.0
rejection_bear AND sweep_low,12,0,9,0.0,-0.75,0.0
engulf_bear AND rejection_bear AND sweep_low,12,0,9,0.0,-0.75,0.0
engulf_bull AND rejection_bull AND bull_fvg,10,0,8,0.0,-0.8,0.0
rejection_bull AND bull_fvg,16,0,13,0.0,-0.8125,0.0
