feature,importance
atr,0.23583959666555873
volatility_rel,0.19066425678001037
upper_wick_pct,0.1290184100365355
body_pct,0.12069235364033903
lower_wick_pct,0.11126459945526135
dow,0.04937522701340707
swing_low,0.02770064018082735
swing_high,0.027614893069457927
engulf_bear,0.01369620974771921
large_body,0.013396464506077727
engulf_bull,0.012807750576469042
direction,0.012050498116198963
rejection_bear,0.011831015228764272
bull_fvg,0.010604616113277369
bear_fvg,0.010200058934156745
sweep_low,0.009587200540831557
sweep_high,0.008214845612764471
rejection_bull,0.0054413637823434394
session_hour,0.0
london,0.0
ny,0.0
overlap,0.0
